Country,Region,Income_Group,Population,CO2_tons_per_capita,Primary_completion_female,Primary_completion_male,LowSecondary_completion_female,LowSecondary_completion_male,pct_Women_in_Parliament,Broadband_subscs_per1k,MobileCell_subscs_per1k,GDP_per_capita_USD,GNI_per_capita_USD,Life_expectancy
Slovak Republic,Europe & Central Asia,High income,5430798,5.970322225,92.16113281,92.71150208,76.1051712,78.376297,20,246.1037954,1287.08525,29656.36603,28890,77.16585366
Slovenia,Europe & Central Asia,High income,2065042,6.117461533,99.24446869,96.63446045,97.93636322,95.46138763,36.66666667,285.3782151,1155.308221,33932.63378,33070,81.17560976
Solomon Islands,East Asia & Pacific,Lower middle income,619437,0.272315022,89.47589874,87.24858856,,,2,2.645951081,672.5009969,2550.52633,2470,72.424
Somalia,Sub-Saharan Africa,Low income,14185613,0.045496236,,,,,,6.48544409,468.999119,,,56.324
South Africa,Sub-Saharan Africa,Upper middle income,56203654,8.480658464,88.06848907,86.45424652,83.56777954,78.01068115,42,20.47500328,1466.326371,12592.48687,12240,63.153
South Sudan,Sub-Saharan Africa,Low income,10832512,0.159441965,,,,,28.45953003,0.013847204,249.2496662,,,57.12
Spain,Europe & Central Asia,High income,46484062,5.249157873,101.7018433,100.7462082,95.10639191,88.9384613,39.14285714,303.6029855,1108.369144,37282.44251,37370,83.32926829
Sri Lanka,South Asia,Lower middle income,21203000,1.101846767,99.97985077,102.2306671,94.88033295,94.62776184,5.777777778,42.07819648,1216.676885,12224.21577,11900,76.482
St. Kitts and Nevis,Latin America & Caribbean,High income,51629,4.616688295,99.45054626,96.7302475,113.4517822,108.8082886,13.33333333,274.613105,1483.333011,24925.3561,23420,
St. Lucia,Latin America & Caribbean,Upper middle income,180024,2.301754211,90.67729187,100.2356567,90.64246368,88.32523346,16.66666667,165.455717,981.2469449,14291.34029,13410,75.752
St. Martin (French part),Latin America & Caribbean,High income,36065,0,,,,,,,,,,79.62195122
St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,109459,2.010067697,101.1428604,96.48561859,113.3841095,94.8927536,13.04347826,199.7551595,1029.143332,12456.95412,12370,72.193
Sudan,Sub-Saharan Africa,Low income,39847440,0,57.78467178,61.83805847,48.75756073,50.70849991,30.51643192,0.652036869,697.8440773,4415.769525,4340,64.663
Suriname,Latin America & Caribbean,Upper middle income,564883,3.07702303,96.73519135,79.95879364,58.17060852,31.4253006,25.49019608,126.0738949,1428.403758,14206.64561,13440,71.358
Sweden,Europe & Central Asia,High income,9923085,4.35875184,104.9545822,105.4907303,106.3910217,109.9834366,43.5530086,370.829233,1264.042382,50425.15463,50720,82.30731707
Switzerland,Europe & Central Asia,High income,8373338,4.117489823,97.66938782,96.02683258,99.68102264,97.16641998,32,450.6601788,1342.606736,65720.14654,65870,83.60243902
Syrian Arab Republic,Middle East & North Africa,Low income,17453933,1.651774073,,,,,13.2,57.84426925,764.8648588,,,70.315
Tajikistan,Europe & Central Asia,Low income,8663579,0.612889431,94.639328,96.08322144,97.30290985,101.8467484,19.04761905,0.692554428,1085.001937,3097.202027,3620,70.397
Tanzania,Sub-Saharan Africa,Lower middle income,53050790,0.225684764,65.95793915,57.2578392,32.68996811,28.93646049,36.55913978,6.003190527,754.8275907,2479.261261,2420,63.844
Thailand,East Asia & Pacific,Upper middle income,68971331,4.114223358,,,83.62451172,76.22319031,6.091370558,104.6666767,1735.054236,16618.76219,15840,76.403
Timor-Leste,East Asia & Pacific,Lower middle income,1219288,0.406011541,101.1152191,97.49690247,83.09677124,75.7841568,38.46153846,0.843114998,1223.763377,3130.574504,4230,68.735
Togo,Sub-Saharan Africa,Low income,7509952,0.399417466,89.0221405,96.3854599,34.47888947,50.51810837,17.58241758,6.493117399,733.0832474,1453.747599,1470,60.22
Tonga,East Asia & Pacific,Upper middle income,101133,1.269071421,,,,,0,29.66390792,791.0375446,6201.053542,6230,70.607
Trinidad and Tobago,Latin America & Caribbean,High income,1377564,31.84485149,,,,,30.95238095,185.5296741,1572.231853,26270.08901,25910,73.1
Tunisia,Middle East & North Africa,Lower middle income,11303946,2.64840154,102.6717224,95.61865997,,,31.33640553,56.64101722,1263.46145,10359.3024,10060,76.115
Turkey,Europe & Central Asia,Upper middle income,79821724,4.669466686,,,,,14.90909091,131.5393789,940.3668104,26511.38737,26230,76.86
Turkmenistan,Europe & Central Asia,Upper middle income,5662372,12.47358651,,,,,25.80645161,0.706417734,1514.383018,13866.32472,13500,67.835
Turks and Caicos Islands,Latin America & Caribbean,High income,36559,5.91791351,,,,,,,,26352.44939,26420,
Tuvalu,East Asia & Pacific,Upper middle income,11225,0.980044543,79.66101837,89.59999847,70,52.58620834,6.666666667,40.08908686,677.0601336,3722.997912,5650,
Uganda,Sub-Saharan Africa,Low income,39647506,0.143267095,55.70803833,53.79138184,27.33227921,30.41608047,33.48946136,2.323349166,576.0387551,2083.578291,2050,61.986
Ukraine,Europe & Central Asia,Lower middle income,45004674,4.493971404,,,,,12.01923077,113.8881708,1260.266878,11148.19655,11320,71.47634146
United Arab Emirates,Middle East & North Africa,High income,9360980,22.04082852,,,,,22.5,138.6168969,2126.390613,63968.85387,64340,77.47
United Kingdom,Europe & Central Asia,High income,65611593,5.776795985,100.8231506,100.9392624,,,29.58397535,387.8217071,1203.009962,44145.57646,43070,81.15609756
United States,North America,High income,322941311,15.50220398,,,,,19.16859122,327.3876596,1225.860509,57951.58408,58970,78.53902439
Uruguay,Latin America & Caribbean,High income,3424132,1.975862788,104.3212509,105.0548096,,,16.16161616,269.1709899,1494.317392,20669.81236,19650,77.498
Uzbekistan,Europe & Central Asia,Lower middle income,31847900,2.882785961,96.44022369,97.18009949,90.3250885,91.32087708,16,86.23362922,730.5159838,6452.927938,6530,71.171
Vanuatu,East Asia & Pacific,Lower middle income,278330,0.527000323,,,,,0,16.11755829,785.4094061,3005.179025,3000,70.021
"Venezuela, RB",Latin America & Caribbean,Upper middle income,29846179,5.500712738,94.66760254,93.46186829,80.64910889,71.57772064,14.37125749,87.52041593,924.7716433,,,72.405
Vietnam,East Asia & Pacific,Lower middle income,93638724,2.057565917,106.8896027,105.1122513,,,26.72064777,97.06764052,1287.928699,6573.096338,6300,75.172
Virgin Islands (U.S.),Latin America & Caribbean,High income,107510,0,,,,,,83.71314296,,,,79.26829268
West Bank and Gaza,Middle East & North Africa,Lower middle income,4367088,0.740606555,97.02237701,97.09004974,88.55477142,73.7399826,,73.38986528,850.266814,6305.391803,7080,73.589
"Yemen, Rep.",Middle East & North Africa,Low income,27168210,0.390479572,64.50009155,79.8050766,45.20653915,60.71459961,0,15.8420448,604.8650242,,,66.087
Zambia,Sub-Saharan Africa,Lower middle income,16363507,0.314182895,,,,,17.96407186,1.942370911,734.3780279,3404.661922,3300,62.464
Zimbabwe,Sub-Saharan Africa,Lower middle income,14030390,0.782776886,,,,,31.48148148,12.17628305,917.9288673,2806.458631,2560,60.294
