Country,Region,Population,Income Group,CO2 emissions (metric tons per capita),"% Literacy, adult female","% Literacy, adult male","% Primary completion, female","% Primary completion, male","% Lower secondary completion, female","% Lower secondary completion, male",% Parliament seats held by women
Palau,East Asia & Pacific,17725,High income,12.61985896,,,,,,,12.5
Panama,Latin America & Caribbean,4037078,High income,2.654140941,,,,,,,18.30985915
Papua New Guinea,East Asia & Pacific,8271760,Lower middle income,0.911013497,,,71.52944183,82.36917877,54.42536163,69.36273193,2.702702703
Paraguay,Latin America & Caribbean,6777872,Upper middle income,1.092871037,93.83505249,95.47605896,,,,,15
Peru,Latin America & Caribbean,30926032,Upper middle income,1.856501313,91.18852997,97.1884613,104.1294937,104.9165573,90.52178192,89.94760895,27.69230769
Philippines,East Asia & Pacific,103663927,Lower middle income,1.179649658,,,,,,,29.79452055
Poland,Europe & Central Asia,37970087,High income,7.875581533,,,102.7631683,100.7907181,96.41718292,97.278862,27.39130435
Portugal,Europe & Central Asia,10325452,High income,4.720545309,,,,,,,34.7826087
Puerto Rico,Latin America & Caribbean,3406672,High income,0,,,,,,,
Qatar,Middle East & North Africa,2654374,High income,38.90147093,94.20703888,92.88156128,94.02954865,95.43305969,95.0686264,87.01938629,0
Romania,Europe & Central Asia,19702267,High income,3.515261924,,,92.0419693,91.68750763,89.50229645,88.60566711,13.71571072
Russian Federation,Europe & Central Asia,144342396,Upper middle income,11.99943207,,,96.70748138,95.60453796,97.73600769,94.20957947,12.66666667
Rwanda,Sub-Saharan Africa,11668818,Low income,0.095533926,,,75.53838348,62.53432846,37.47806168,32.99320984,63.75
Samoa,East Asia & Pacific,194535,Upper middle income,1.262955252,,,109.6542435,111.6883087,106.8641968,110.9659424,10
San Marino,Europe & Central Asia,33504,High income,0,,,,,,,23.33333333
Saudi Arabia,Middle East & North Africa,32442572,High income,17.36758781,,,99.28475952,106.7910385,102.2789764,106.8011475,19.86754967
Senegal,Sub-Saharan Africa,14993528,Lower middle income,0.727113125,,,,,,,42.66666667
Serbia,Europe & Central Asia,7058322,Upper middle income,6.406826438,98.22827911,99.49970245,98.29650116,99.34037781,95.53839874,94.76907349,34
Seychelles,Sub-Saharan Africa,94677,High income,6.390728477,,,112.6865692,112.6074524,114.3769989,107.5384598,21.21212121
Sierra Leone,Sub-Saharan Africa,7328838,Low income,0.149104947,,,67.46497345,69.19946289,54.24449921,59.22845078,12.39669421
Singapore,East Asia & Pacific,5607283,High income,6.694046297,95.44789124,98.73446655,99.18698883,100.3677979,105.1212387,109.529808,23.76237624
Sint Maarten (Dutch part),Latin America & Caribbean,39969,High income,0,,,,,,,
Slovak Republic,Europe & Central Asia,5430798,High income,5.970322225,,,92.16113281,92.71150208,76.1051712,78.376297,20
Slovenia,Europe & Central Asia,2065042,High income,6.117461533,,,99.24446869,96.63446045,97.93636322,95.46138763,36.66666667
Solomon Islands,East Asia & Pacific,619437,Lower middle income,0.272315022,,,89.47589874,87.24858856,,,2
Somalia,Sub-Saharan Africa,14185613,Low income,0.045496236,,,,,,,
South Africa,Sub-Saharan Africa,56203654,Upper middle income,8.480658464,,,88.06848907,86.45424652,83.56777954,78.01068115,42
South Sudan,Sub-Saharan Africa,10832512,Low income,0.159441965,,,,,,,28.45953003
Spain,Europe & Central Asia,46484062,High income,5.249157873,97.69535828,98.83596802,101.7018433,100.7462082,95.10639191,88.9384613,39.14285714
Sri Lanka,South Asia,21203000,Lower middle income,1.101846767,91.48610687,93.45588684,99.97985077,102.2306671,94.88033295,94.62776184,5.777777778
St. Kitts and Nevis,Latin America & Caribbean,51629,High income,4.616688295,,,99.45054626,96.7302475,113.4517822,108.8082886,13.33333333
St. Lucia,Latin America & Caribbean,180024,Upper middle income,2.301754211,,,90.67729187,100.2356567,90.64246368,88.32523346,16.66666667
St. Martin (French part),Latin America & Caribbean,36065,High income,0,,,,,,,
St. Vincent and the Grenadines,Latin America & Caribbean,109459,Upper middle income,2.010067697,,,101.1428604,96.48561859,113.3841095,94.8927536,13.04347826
Sudan,Sub-Saharan Africa,39847440,Low income,0,,,57.78467178,61.83805847,48.75756073,50.70849991,30.51643192
Suriname,Latin America & Caribbean,564883,Upper middle income,3.07702303,,,96.73519135,79.95879364,58.17060852,31.4253006,25.49019608
Sweden,Europe & Central Asia,9923085,High income,4.35875184,,,104.9545822,105.4907303,106.3910217,109.9834366,43.5530086
Switzerland,Europe & Central Asia,8373338,High income,4.117489823,,,97.66938782,96.02683258,99.68102264,97.16641998,32
Syrian Arab Republic,Middle East & North Africa,17453933,Low income,1.651774073,,,,,,,13.2
São Tomé and Principe,Sub-Saharan Africa,203227,Lower middle income,0.595447455,,,79.76899719,75.23774719,,,18.18181818
Tajikistan,Europe & Central Asia,8663579,Low income,0.612889431,,,94.639328,96.08322144,97.30290985,101.8467484,19.04761905
Tanzania,Sub-Saharan Africa,53050790,Lower middle income,0.225684764,,,65.95793915,57.2578392,32.68996811,28.93646049,36.55913978
Thailand,East Asia & Pacific,68971331,Upper middle income,4.114223358,,,,,83.62451172,76.22319031,6.091370558
Timor-Leste,East Asia & Pacific,1219288,Lower middle income,0.406011541,,,101.1152191,97.49690247,83.09677124,75.7841568,38.46153846
Togo,Sub-Saharan Africa,7509952,Low income,0.399417466,,,89.0221405,96.3854599,34.47888947,50.51810837,17.58241758
Tonga,East Asia & Pacific,101133,Upper middle income,1.269071421,,,,,,,0
Trinidad and Tobago,Latin America & Caribbean,1377564,High income,31.84485149,,,,,,,30.95238095
Tunisia,Middle East & North Africa,11303946,Lower middle income,2.64840154,,,102.6717224,95.61865997,,,31.33640553
Turkey,Europe & Central Asia,79821724,Upper middle income,4.669466686,93.56301117,98.77583313,,,,,14.90909091
Turkmenistan,Europe & Central Asia,5662372,Upper middle income,12.47358651,,,,,,,25.80645161
Turks and Caicos Islands,Latin America & Caribbean,36559,High income,5.91791351,,,,,,,
Tuvalu,East Asia & Pacific,11225,Upper middle income,0.980044543,,,79.66101837,89.59999847,70,52.58620834,6.666666667
Uganda,Sub-Saharan Africa,39647506,Low income,0.143267095,,,55.70803833,53.79138184,27.33227921,30.41608047,33.48946136
Ukraine,Europe & Central Asia,45004674,Lower middle income,4.493971404,,,,,,,12.01923077
United Arab Emirates,Middle East & North Africa,9360980,High income,22.04082852,,,,,,,22.5
United Kingdom,Europe & Central Asia,65611593,High income,5.776795985,,,100.8231506,100.9392624,,,29.58397535
United States,North America,322941311,High income,15.50220398,,,,,,,19.16859122
Uruguay,Latin America & Caribbean,3424132,High income,1.975862788,98.85031891,98.24452972,104.3212509,105.0548096,,,16.16161616
Uzbekistan,Europe & Central Asia,31847900,Lower middle income,2.882785961,99.97840881,99.99487305,96.44022369,97.18009949,90.3250885,91.32087708,16
Vanuatu,East Asia & Pacific,278330,Lower middle income,0.527000323,,,,,,,0
"Venezuela, RB",Latin America & Caribbean,29846179,Upper middle income,5.500712738,97.21370697,97.03910828,94.66760254,93.46186829,80.64910889,71.57772064,14.37125749
Vietnam,East Asia & Pacific,93638724,Lower middle income,2.057565917,,,106.8896027,105.1122513,,,26.72064777
Virgin Islands (U.S.),Latin America & Caribbean,107510,High income,0,,,,,,,
West Bank and Gaza,Middle East & North Africa,4367088,Lower middle income,0.740606555,95.20790863,98.60784149,97.02237701,97.09004974,88.55477142,73.7399826,
"Yemen, Rep.",Middle East & North Africa,27168210,Low income,0.390479572,,,64.50009155,79.8050766,45.20653915,60.71459961,0
Zambia,Sub-Saharan Africa,16363507,Lower middle income,0.314182895,,,,,,,17.96407186
Zimbabwe,Sub-Saharan Africa,14030390,Lower middle income,0.782776886,,,,,,,31.48148148
